Ingenuity Canonical Pathways,nlogp,Ratio,z-score,combined,Molecules
Dopamine-DARPP32 Feedback in cAMP Signaling,1.63,0.163,1.279,2.08477,"ADCY6,ADCY7,ATP2A1,CACNA1F,CACNA2D2,CACNG7,CAMK4,CAMKK1,CAMKK2,CDK5,CHP1,CREB3L2,CSNK1D,CSNK1E,GNAI1,GRIN2D,KCNJ14,PLCB3,PLCD3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,PRKACB,PRKCD,PRKCI"
Relaxin Signaling,1.63,0.167,1.291,2.10433,"ADCY6,ADCY7,AKT1,BRAF,GAD1,GDE1,GNAI1,GNB1,GNG11,MAP2K1,NFKB2,NFKBIA,PDE10A,PDE2A,PDE4A,PDE4B,PDE7B,PDE8B,PDE9A,PIK3C2B,PIK3R1,PIK3R3,PRKACB,RAP1A,RELA,RELB"
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza,2.47,0.202,0.853,2.10691,"ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,BECN1,BRAF,CASP3,MAP2K1,MAP2K6,MAP2K7,MAPK13,NFKB2,NFKBIA,PLAAT4,PLAAT5,PNPLA2,RAP1A,RASD1,RRAS,TCIRG1"
Basal Cell Carcinoma Signaling,3.68,0.268,0.577,2.12336,"APC,AXIN1,BMP1,BMP2,BMP4,BMP8B,CTNNB1,DVL1,DVL3,FZD1,FZD2,FZD5,GLI1,LEF1,SHH,TCF3,TP53,WNT2B,ZNF875"
Serotonin Receptor Signaling,1.98,0.147,1.083,2.14434,"ADCY6,ADCY7,ADRA1B,ADRB2,AKT1,ARRB1,BDNF,BRAF,CACNA1F,CACNA2D2,CACNG7,CASP3,CAV1,CCNE2,CDK5,CPE,CREB3L2,EDN1,EIF4EBP1,FRK,FYN,GNAI1,GNB1,GNG11,IL1B,ITGB3,KALRN,MAP2K1,MAP2K6,MAP2K7,MAPK13,MYC,NFKB2,NFKBIA,PAK1,PIK3C2B,PIK3R1,PIK3R3,PLAAT4,PLAAT5,PLCB3,PLCD3,PLD2,PLD3,PNPLA2,PPARGC1A,PRKACB,PRKCD,PRKCI,PTS,RAP1A,RAPGEF3,RASD1,RB1,RBL1,RBL2,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,SLC9A5,SRF,STIM2,TGFB1,TGFB3,YES1"
Collagen degradation,2.01,0.219,1.069,2.14869,"ADAM9,COL16A1,COL1A2,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,CTSD,MMP1,MMP10,TMPRSS6"
Insulin Secretion Signaling Pathway,2.15,0.161,1,2.15,"ADCY6,ADCY7,AGO2,AGO4,ASIC3,BET1L,CACNA1F,CACNA2D2,CACNG7,CPE,CREB3L2,CRTC2,EIF2A,EIF2B4,EIF2B5,EIF4EBP1,ELP6,FRK,FYN,GIPR,JAK3,MAPK13,NAPA,PC,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PRKACB,PRKCD,PRKCI,RAP1A,SEC61A2,SLC2A1,SPCS2,SRP19,STAT5A,STAT5B,STAT6,STX16,TCF3,VAMP2,VTI1A,YES1"
Netrin-1 signaling,1.29,0.205,1.667,2.15043,"ABLIM3,FYN,MYO10,NEO1,PITPNA,PTK2,RGMB,SIAH2,SLIT2"
Estrogen-Dependent Breast Cancer Signaling,2.39,0.217,0.905,2.16295,"AKT1,CCND1,CREB3L2,EGFR,HSD17B10,HSD17B12,HSD17B7,NFKB2,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RELA,RELB,RRAS,STAT5A,STAT5B"
Apelin Endothelial Signaling Pathway,2.01,0.179,1.091,2.19291,"ADCY6,ADCY7,AKT1,ANGPT1,APLN,ARNT,CCL2,GNAI1,GNB1,GNG11,HDAC5,ICAM1,MAP2K1,NFKB2,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PRKAB2,PRKCD,PRKCI,RAP1A,RASD1,RELA,RELB,RRAS"
Cardiac Hypertrophy Signaling,3.47,0.184,0.632,2.19304,"ADCY6,ADCY7,ADRA1B,ADRB2,ADSS2,AKT1,CACNA1F,CACNA2D2,CACNG7,CHP1,EIF2B4,EIF2B5,GNAI1,GNB1,GNG11,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK13,MAPKAPK2,MYL12A,MYL12B,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PPP3CA,PPP3CC,PRKACB,RAP1A,RASD1,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,SOS1,SRF,TGFB1,TGFB3"
B Cell Activating Factor Signaling,2.2,0.256,1,2.2,"IKBKE,MAP2K7,MAP3K1,MAP3K14,MAPK13,NFKB2,NFKBIA,RELA,RELB,TRAF2,TRAF3"
RAC Signaling,2.34,0.19,0.943,2.20662,"ABI2,ANK1,ARPC4,CYBB,ELK4,IQGAP2,ITGAE,ITGB3,ITGB6,ITGB8,MAP2K1,MAP2K7,MAP3K1,NCKAP1,NFKB2,PAK1,PIK3C2B,PIK3R1,PIK3R3,PRKCI,PTK2,RAP1A,RASD1,RELA,RELB,RRAS"
ABRA Signaling Pathway,1.48,0.182,1.5,2.22,"ABLIM3,ACTN1,CCN2,CHP1,EGR1,GSN,JUNB,NOL3,PDGFC,PPARGC1A,PPP3CA,PPP3CC,SMTN,SRF,TPM2,TPM4"
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages,4.51,0.214,0.493,2.22343,"AKT1,APOE,APOL1,ARG2,CYBB,IKBKE,JAK3,MAP2K1,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK13,NFKB2,NFKBIA,NGFR,PCYOX1,PIK3C2B,PIK3R1,PIK3R3,PPARA,PPP2R1B,PPP2R2A,PPP2R5A,PPP2R5D,PRKCD,PRKCI,RAP1A,RELA,RELB,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,TLR4,TNFRSF11B,TNFRSF1B"
FLT3 Signaling in Hematopoietic Progenitor Cells,2.08,0.207,1.069,2.22352,"AKT1,CBL,CREB3L2,EIF4EBP1,GAB2,MAP2K1,MAPK13,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,SOS1,STAT5A,STAT5B,STAT6"
Prolactin Signaling,1.73,0.188,1.291,2.23343,"ABCB8,FYN,MAP2K1,MYC,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SOCS2,SOCS4,SOCS7,SOS1,STAT5A,STAT5B"
Asparagine N-linked glycosylation,4.03,0.232,0.557,2.24471,"ALG1,ALG12,ALG6,ALG8,AMDHD2,ASGR1,B4GALNT2,B4GALT2,CANX,DOLK,EDEM1,ENGASE,FPGT,GANAB,GMPPA,GMPPB,GNPNAT1,LMAN1,MAGT1,MAN1A2,MAN2A2,MOGS,NGLY1,OS9,PGM3,PSMC1,ST3GAL4,SYVN1,UAP1"
Semaphorin Neuronal Repulsive Signaling Pathway,1.68,0.17,1.342,2.25456,"AKT1,CDK5,CSPG4,DPYSL2,FARP1,FYN,ITGAE,ITGB3,ITGB6,ITGB8,MAP2K1,MAP2K6,MAP2K7,MYL12A,MYL12B,PAK1,PDE4A,PDE4B,PIK3C2B,PIK3R1,PIK3R3,PLXNB1,PRKACB,RRAS,TP53"
PI3K/AKT Signaling,3.76,0.2,0.6,2.256,"AKT1,CCND1,CDKN1A,CTNNB1,EIF4EBP1,EPM2A,GAB2,GDF15,HSP90B1,IFNAR1,IKBKE,IL15RA,IL17RD,IL17RE,INPP5F,INPP5K,INPPL1,ITGAE,ITGB3,ITGB6,ITGB8,JAK3,MAP2K1,NFKB2,NFKBIA,PIK3R1,PIK3R3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,RAP1A,RASD1,RELA,RELB,RRAS,SOS1,SYNJ1,TP53"
NF-κB Activation by Viruses,3.12,0.244,0.728,2.27136,"AKT1,IKBKE,ITGB3,MAP3K1,MAP3K14,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RELA,RELB,RRAS,TBP,TRAF2"
NGF-stimulated transcription,0.862,0.179,2.646,2.280852,"CDK5,EGR1,FOSL1,JUNB,NAB2,SRF,TRIB1"
WNT/β-catenin Signaling,4.51,0.22,0.507,2.28657,"ACVR2B,AKT1,APC,APPL2,AXIN1,AXIN2,CCND1,CSNK1D,CSNK1E,CTNNB1,DVL1,DVL3,FRZB,FZD1,FZD2,FZD5,HDAC1,KREMEN1,LEF1,LRP1,MYC,PPARD,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,RUVBL2,SFRP1,SOX21,SOX4,SOX9,TCF3,TGFB1,TGFB3,TGFBR3,TP53,WNT2B"
Prostate Cancer Signaling,6.59,0.284,0.354,2.33286,"AKT1,CCND1,CCNE2,CDKN1A,CREB3L2,CTNNB1,E2F3,E2F6,E2F7,HDAC1,HDAC5,HDAC7,HDAC9,HSP90B1,LEF1,MAP2K1,NFKB2,NFKBIA,NKX3-1,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RB1,RBL1,RBL2,RELA,RELB,RRAS,SOS1,TFDP1,TP53"
DAG and IP3 signaling,1.89,0.244,1.265,2.39085,"ADCY6,ADCY7,AHCYL1,CAMK4,CAMKK1,CAMKK2,GRK2,PRKACB,PRKCD,PRKX"
tRNA Charging,0.906,0.184,2.646,2.397276,"AARS1,KARS1,LARS1,NARS1,RARS2,SARS1,TARS2"
Ephrin Receptor Signaling,1.2,0.149,2,2.4,"AKT1,ANGPT1,ARPC4,AXIN1,CREB3L2,EFNB2,EPHA4,EPHB4,FYN,GNAI1,GNB1,GNG11,GRIN2D,ITGAE,ITGB3,ITGB6,ITGB8,KALRN,MAP2K1,MAP3K14,PAK1,PDGFA,PDGFC,PTK2,RAP1A,RASD1,RRAS,SDC2,SOS1,WIPF1"
Gap Junction Signaling,2.45,0.161,0.98,2.401,"ADCY6,ADCY7,AKT1,CASP3,CASP7,CAV1,CCN3,CCND1,CREB3L2,CSNK1D,CSNK1E,CTNNB1,DLG1,EGFR,GAD1,GJC1,GNAI1,IL1B,LEF1,MAP2K1,MAPK7,MYC,NFKB2,NGFR,P2RY11,P2RY2,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PPP3CA,PPP3CC,PRKACB,PRKCD,PRKCI,PTGER4,PTPRM,RAP1A,RASD1,RELA,RELB,RRAS,SOS1,SOST,TCF3,TGFB1,TLR4,TNFRSF11B,TNFRSF1B,TUBA1A,TUBG1,YBX3"
Costimulation by the CD28 family,2.01,0.183,1.225,2.46225,"AKT1,CD274,FYN,MAP3K14,MAPKAP1,NME1,NME7,PAK1,PIK3C2B,PIK3R1,PIK3R3,PPP2R1B,PPP2R5A,PPP2R5D,PRR5L,SPHK1,SPHK2,SRPK3,STK10,STK3,STK32C,STK39,TRIB3,YES1"
RNA Polymerase II Transcription,2.66,0.193,0.928,2.46848,"ALYREF,CASC3,CCNT2,CPSF4,CSTF2T,DDX39A,EAF1,ELL,ERCC2,GTF2E2,MNAT1,NCBP1,NCBP2,NELFA,NELFB,POLR2C,POLR2L,RNPS1,SRRM1,SRSF2,SRSF3,SRSF4,SRSF6,SUPT6H,SYMPK,TAF2,TAF4B,TBP,UPF3B"
Signaling by CSF1 (M-CSF) in myeloid cells,1.75,0.258,1.414,2.4745,"CBL,CSF1R,FYN,GAB2,INPPL1,PIK3R1,SOS1,YES1"
Necroptosis Signaling Pathway,3.64,0.209,0.686,2.49704,"AXL,BIRC2,CAPN10,CAPNS1,CASP8,CHP1,CYBB,IFNAR1,IRF3,MLKL,NGFR,PELI1,PPIF,PPP3CA,PPP3CC,PYGL,RB1,RBCK1,RBL1,RBL2,SLC25A13,TICAM1,TIMM10,TIMM13,TIMM44,TLR3,TLR4,TNFRSF11B,TNFRSF1B,TOMM34,TOMM40L,TP53,TRAF2,TYRO3"
Synaptic adhesion-like molecules,2.22,0.333,1.134,2.51748,"DLG1,DLG4,GRIN2D,LRFN3,PTPRF,PTPRS,RTN3"
Factors Promoting Cardiogenesis in Vertebrates,2.62,0.192,0.962,2.52044,"ACVR2B,APC,AXIN1,BMP1,BMP2,BMP4,BMP8B,BMPR1A,CCND1,CREB3L2,CTNNB1,DVL1,FZD1,FZD2,FZD5,LEF1,LRP1,MYC,NOG,PLCB3,PLCD3,PRKCD,PRKCI,SMAD4,TCF3,TGFB1,TGFB3,TGFBR3,WNT2B"
CXCR4 Signaling,1.49,0.161,1.706,2.54194,"ADCY6,ADCY7,AKT1,EGR1,GNAI1,GNB1,GNG11,MAP2K1,MYL12A,MYL12B,PAK1,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PRKCD,PRKCI,PTK2,RAP1A,RASD1,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS"
Nonsense-Mediated Decay (NMD),0.812,0.145,3.153,2.560236,"CASC3,DCP1A,NCBP1,NCBP2,PPP2R2A,RNPS1,RPL13A,RPL14,RPL18A,RPL28,RPL3,RPL39L,RPL4,RPL5,RPS16,RPS19,UPF3B"
ERK/MAPK Signaling,2.38,0.173,1.095,2.6061,"BRAF,CREB3L2,DUSP2,EIF4EBP1,ELF1,ELF3,ELF4,ETS1,FYN,ITGAE,ITGB3,ITGB6,ITGB8,LAMTOR3,MAP2K1,MAPKAPK5,MYC,PAK1,PIK3C2B,PIK3R1,PIK3R3,PPARG,PPP2R1B,PPP2R2A,PPP2R5A,PPP2R5D,PRKACB,PRKCD,PRKCI,PTK2,RAP1A,RAPGEF3,RASD1,RRAS,SOS1,SRF,TLN1,VRK2"
Collagen biosynthesis and modifying enzymes,2.62,0.239,1,2.62,"ADAMTS2,ADAMTS3,BMP1,COL16A1,COL1A2,COL20A1,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,CRTAP,P3H3,PLOD3"
Pyridoxal 5'-phosphate Salvage Pathway,1.89,0.212,1.387,2.62143,"BRAF,CDK4,CDK5,CSNK1D,DMPK,MAP2K1,MAP2K6,MAP3K9,MAPK7,PAK1,PIM1,PKN1,PRKCD,PRKX"
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway,1.54,0.167,1.706,2.62724,"ADAMTS4,CAMKK2,CASP3,CASP8,CCL2,CHP1,EGR1,IL1A,IL1B,IL1RAPL1,LRP1,MAPK13,MLKL,MMP1,MMP10,MMP16,NFKB2,NGFR,PDGFC,PPP3CA,PPP3CC,PRKAB2,TNFRSF11B,TNFRSF1B"
RAB GEFs exchange GTP for GDP on RABs,1.14,0.167,2.324,2.64936,"AKT1,ALS2CL,ANKRD27,CHM,DENND4A,DENND4B,DENND5A,HPS4,RAB12,RAB3IL1,RAB6B,RAB7B,RAB9B,SBF2,ULK1"
Signaling by Rho Family GTPases,2.5,0.169,1.061,2.6525,"ARHGEF1,ARHGEF2,ARHGEF3,ARPC4,CDH11,CDH20,CDH24,CYBB,GFAP,GNAI1,GNB1,GNG11,ITGAE,ITGB3,ITGB6,ITGB8,MAP2K1,MAP2K7,MAP3K10,MAP3K20,MAP3K21,MAP3K9,MSN,MYL12A,MYL12B,NFKB2,PAK1,PIK3C2B,PIK3R1,PIK3R3,PKN1,PRKCI,PTK2,RELA,RELB,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,SEPTIN4,SEPTIN6,SLC9A1,WIPF1"
Acetylcholine Receptor Signaling Pathway,1.3,0.152,2.043,2.6559,"ADAM19,ADAM9,ADCY6,ADCY7,AKT1,CACNA1F,CACNA2D2,CACNG7,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,CATSPER3,CHRNE,CREB3L2,FYN,GNAI1,KEAP1,NFKB2,NGFR,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PRKACB,PRKCD,PRKCI"
Leukocyte Extravasation Signaling,1.21,0.149,2.2,2.662,"ACTN1,AFDN,CLDN9,CTNNA1,CTNNB1,CYBB,F11R,GNAI1,ICAM1,MAP3K4,MAPK13,MMP1,MMP10,MMP16,MSN,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,PTK2,RAP1A,RAPGEF3,SELPLG,TIMP1,TIMP2,TIMP3,TIMP4,WIPF1"
Cargo recognition for clathrin-mediated endocytosis,4.63,0.257,0.577,2.67151,"ADRB2,AP2A1,AP2M1,AREG,ARRB1,BTC,CBL,COPS4,DAB2,EGFR,EPN2,EREG,FCHO1,GRK2,GRK3,HBEGF,HGS,IGF2R,LDLR,M6PR,REPS1,STON1,SYT1,SYT11,TFRC,TOR1A,VAMP2"
Natural Killer Cell Signaling,1.18,0.148,2.268,2.67624,"AKT1,COL1A2,FYN,HLA-B,HSPA5,JAK3,KLRC3,MAP2K1,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK13,NECTIN2,NFKB2,PAK1,PIK3C2B,PIK3R1,PIK3R3,PVR,RAET1L,RAP1A,RASD1,RELA,RELB,RRAS,SOS1,ULBP3,WIPF1"
Polyamine Regulation in Colon Cancer,1.93,0.22,1.387,2.67691,"AKT1,APC,BRAF,CTNNB1,EIF5A2,MAP2K1,MAP2K6,MAP2K7,MTA1,MYC,PPARG,SAT1,TP53"
NRF2-mediated Oxidative Stress Response,1.76,0.155,1.528,2.68928,"AKT1,BACH1,CDC34,CYGB,CYP2E1,CYP2S1,CYP2U1,DNAJA1,DNAJB12,DNAJB5,DNAJC10,DNAJC13,DNAJC9,EPHX1,ERP29,FKBP5,FOSL1,GSTO1,HERPUD1,HSP90B1,HSPB8,JUNB,KEAP1,MAFF,MAFG,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAPK7,MGST1,MGST2,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SCARB1,TXNRD1"
Signaling by NTRK1 (TRKA),1.8,0.198,1.5,2.7,"AP2A1,AP2M1,BRAF,KIDINS220,MAP2K1,MAPK13,MAPK7,MAPKAPK2,NGF,PIK3R1,PPP2R1B,PPP2R5D,RALGDS,RAP1A,SHC3,SOS1"
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency,3.02,0.211,0.905,2.7331,"ACVR2B,AKT1,APC,AXIN1,BMP1,BMP2,BMP4,BMP8B,BMPR1A,CTNNB1,DVL1,FZD1,FZD2,FZD5,JAK3,MAP2K1,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,SMAD4,SOS1,TP53,WNT2B"
Mitochondrial Division Signaling Pathway,3.16,0.199,0.87,2.7492,"ADRA1B,CACNA1F,CACNA2D2,CACNG7,CASP8,CATSPER3,CCNB3,CDK5,CHP1,MARCHF5,MLKL,MUL1,NGFR,PDGFC,PINK1,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,PRKAB2,PRKACB,PRKCD,RAP1A,RASD1,RRAS,S1PR2,SPIRE1,TNFRSF11B,TNFRSF1B,TP53"
TWEAK Signaling,5.21,0.395,0.535,2.78735,"BIRC2,CASP3,CASP6,CASP7,CASP8,IKBKE,MAP3K14,NFKB2,NFKBIA,RELA,RELB,TNFRSF25,TNFSF12,TRAF2,TRAF3"
Xenobiotic Metabolism General Signaling Pathway,1.61,0.165,1.732,2.78852,"ABCA2,AKT1,ARNT,GSTO1,KEAP1,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK13,MAPK7,MGST1,MGST2,PIK3C2B,PIK3R1,PIK3R3,PPARA,PRKCD,PRKCI,RAP1A,RASD1,RRAS,SLC51A"
Opioid Signalling,3.12,0.233,0.894,2.78928,"ADCY6,ADCY7,AHCYL1,CAMK4,CAMKK1,CAMKK2,CDK5,GNAI1,GNB1,GNG11,GRK2,PDE4A,PDE4B,PLCB3,PPP2R1B,PPP2R5D,PPP3CA,PPP3CC,PRKACB,PRKCD,PRKX"
Tumor Microenvironment Pathway,2.55,0.183,1.095,2.79225,"AKT1,BRAF,CCL2,CCND1,CD274,COL1A2,CSPG4,FGF5,HLA-B,ICAM1,IL1B,ITGB3,MAP2K1,MAP3K14,MMP1,MMP10,MMP16,MYC,NFKB2,PDGFA,PDGFC,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RELA,RELB,RRAS,SLC2A1,TGFB1,TGFB3,TNC"
Adrenomedullin signaling pathway,1.2,0.149,2.353,2.8236,"ADCY6,ADCY7,AKT1,ARNT,BRAF,CASP3,GAD1,IL1A,IL1B,MAP2K1,MAP2K6,MAP2K7,MAPK13,MAPK7,NFKB2,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PPARG,PRKACB,PTK2,RAP1A,RASD1,RELA,RELB,RRAS,SHC3,SOS1"
O-linked glycosylation,3.62,0.23,0.784,2.83808,"ADAMTS16,ADAMTS2,ADAMTS3,ADAMTS4,ADAMTS6,ADAMTSL1,ADAMTSL2,ADAMTSL4,B3GLCT,B3GNT7,CHST4,DAG1,GALNT1,GALNT5,GALNT6,GALNT7,MUC1,MUC13,POFUT2,POMGNT1,POMGNT2,POMT1,POMT2,ST3GAL4,ST6GALNAC2,THSD4"
Mitochondrial biogenesis,2.85,0.25,1,2.85,"CAMK4,CARM1,CRTC2,CRTC3,HELZ2,IDH2,MTERF1,NR1D1,POLG2,POLRMT,PPARA,PPARGC1A,PRKAB2,SIRT4,TFAM,TFB1M"
Netrin Signaling,1.96,0.171,1.461,2.86356,"ABLIM3,ADORA2B,AKT1,ARPC4,BET1L,CACNA1F,CACNA2D2,CACNG7,CATSPER3,CHP1,DPYSL2,ENAH,FYN,MAP2K1,NAPA,NEO1,NFKB2,PAK1,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,PRKACB,PRKCD,PRKCI,PTK2,STX16,VAMP2,VTI1A"
April Mediated Signaling,2.28,0.262,1.265,2.8842,"IKBKE,MAP2K7,MAP3K1,MAP3K14,MAPK13,NFKB2,NFKBIA,RELA,RELB,TRAF2,TRAF3"
Regulation of Cellular Mechanics by Calpain Protease,2.06,0.202,1.414,2.91284,"ACTN1,CAPN10,CAPNS1,CCND1,CCND3,CCNE2,CDK4,EGFR,ITGAE,ITGB3,ITGB6,ITGB8,PTK2,RAP1A,RASD1,RB1,RRAS,TLN1"
Estrogen Receptor Signaling,2.07,0.151,1.414,2.92698,"ADCY6,ADCY7,AKT1,ARG2,CACNA1F,CACNA2D2,CACNG7,CARM1,CAV1,CCND1,CDKN1A,CREB3L2,CYC1,DLG4,EGFR,EIF2B4,EIF2B5,EIF4EBP1,ESR2,FBXO32,GNAI1,GNB1,GNG11,GPER1,HSP90B1,IGF2R,JAK3,MAP2K1,MED24,MMP1,MMP10,MMP16,MYC,MYL12A,MYL12B,NDUFA10,NFKB2,NOTCH1,NRIP1,PAK1,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PPARGC1A,PRKAB2,PRKACB,PRKCD,PRKCI,RAP1A,RASD1,RELA,RELB,RRAS,SDHA,SHC3,SOS1,TFAM,TP53,ZDHHC21"
RANK Signaling in Osteoclasts,4.68,0.269,0.626,2.92968,"AKT1,BIRC2,CBL,CHP1,GSN,IKBKE,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK13,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,RELA,RELB,TRAF2"
Major pathway of rRNA processing in the nucleolus and cytosol,1.61,0.161,1.826,2.93986,"CSNK1D,CSNK1E,DDX49,EXOSC7,GNL3,IMP3,KRR1,MTREX,NOL11,NOP56,PDCD11,RPL13A,RPL14,RPL18A,RPL28,RPL3,RPL39L,RPL4,RPL5,RPP30,RPP40,RPS16,RPS19,RRP36,SNU13,TEX10,UTP14A,UTP6,WDR12,WDR3"
Proteasomal PSMD10 Signaling Pathway,3.76,0.228,0.784,2.94784,"AKT1,BRAF,CCND1,CDK4,CTNNB1,E2F3,E2F6,E2F7,LEF1,MYC,NFKB2,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PSMC1,PSMC2,RAP1A,RASD1,RB1,RBL1,RBL2,RELA,RRAS,TCF3,TGFB1,TP53,WWP2"
UVC-Induced MAPK Signaling,1.28,0.196,2.333,2.98624,"BRAF,EGFR,MAP2K1,MAPK13,PRKCD,PRKCI,RAP1A,RASD1,RRAS,TP53"
Inhibition of Angiogenesis by TSP1,1.59,0.242,1.89,3.0051,"AKT1,CASP3,FYN,KDR,MAPK13,SDC2,TGFB1,TP53"
Clathrin-mediated endocytosis,4.17,0.233,0.73,3.0441,"ADRB2,AP2A1,AP2M1,AREG,ARFGAP1,ARPC4,ARRB1,BTC,CBL,DAB2,EGFR,EPN2,EREG,FCHO1,HBEGF,HGS,HIP1,IGF2R,LDLR,M6PR,PACSIN2,REPS1,SNX9,STON1,SYNJ1,SYT1,SYT11,TFRC,TRIP10,VAMP2"
ERB2-ERBB3 Signaling,2.85,0.25,1.069,3.04665,"AKT1,CCND1,ERBB3,JAK3,MAP2K1,MYC,NRG1,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,SOS1,STAT5A,STAT5B"
Erythropoietin Signaling Pathway,1.76,0.166,1.732,3.04832,"AKT1,ARNT,BIRC2,CCND1,CTNNB1,IL1A,IL1B,MAP2K1,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RELA,RELB,RRAS,SHC3,SOS1,STAT5A,STAT5B,TGFB1,TGFB3,TNFSF12,TNFSF15,TNFSF9,TP53"
Renin-Angiotensin Signaling,1.81,0.18,1.698,3.07338,"ADCY6,ADCY7,CCL2,MAP2K1,MAP3K1,MAPK13,NFKB2,PAK1,PIK3C2B,PIK3R1,PIK3R3,PRKACB,PRKCD,PRKCI,PTK2,RAP1A,RASD1,RELA,RELB,RRAS,SHC3,SOS1"
Metallothioneins bind metals,1.57,0.364,2,3.14,"MT1A,MT1E,MT1X,MT2A"
Salvage Pathways of Pyrimidine Ribonucleotides,1.86,0.19,1.698,3.15828,"AK4,BRAF,CDK4,CDK5,CSNK1D,DMPK,MAP2K1,MAP2K6,MAP3K9,MAPK7,NME1,NME7,PAK1,PIM1,PKN1,PRKCD,PRKX,UCK2,UCKL1"
P2Y Purinergic Receptor Signaling Pathway,2.47,0.194,1.279,3.15913,"ADCY6,ADCY7,AKT1,CREB3L2,GNAI1,GNB1,GNG11,ITGB3,MAP2K1,MYC,NFKB2,P2RY11,P2RY2,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PRKACB,PRKCD,PRKCI,RAP1A,RASD1,RELA,RELB,RRAS"
Glioma Signaling,6.48,0.273,0.5,3.24,"AKT1,CAMK4,CCND1,CCND3,CDK4,CDKN1A,E2F3,E2F6,E2F7,EGFR,HDAC1,HDAC5,HDAC7,HDAC9,IDH1,IDH2,IGF2R,MAP2K1,PDGFA,PDGFC,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RB1,RBL1,RBL2,RRAS,SOS1,TFDP1,TP53"
Signaling by EGFR,2.34,0.245,1.387,3.24558,"AAMP,AREG,BTC,CBL,EGFR,EREG,HBEGF,HGS,PAG1,PIK3R1,PTPN3,SOS1,SPRY2"
